0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-1027	1025	-2025	1048	-1026	0	0	0	0	0	0	0	0	0	0	0	-1023	1038	-2021	1013	-1022	0
1012	0	1037	0	1056	0	0	0	0	0	0	0	0	0	0	0	1049	0	1026	0	1001	0
-2020	1024	-1021	1047	-2019	0	0	0	0	0	0	0	0	0	0	0	-2016	1039	-1017	1014	-2015	0
1011	0	1036	0	1055	0	0	0	0	0	0	0	0	0	0	0	1050	0	1027	0	1002	0
-1016	1023	-2014	1046	-1015	1067	-2013	1066	-1014	1065	-2012	1064	-1013	1063	-2011	1062	-1012	1040	-2010	1015	-1011	0
0	0	0	1035	0	0	1061	0	1060	0	1059	0	1058	0	1057	0	0	1028	0	0	0	0
0	1010	0	0	-1010	0	-1009	1054	-2009	1053	-1008	1052	-2008	1051	-1007	0	-1006	0	0	1003	0	0
0	0	0	1022	0	1034	1045	0	1044	0	1043	0	1042	0	1041	1029	0	1016	0	0	0	0
0	0	-2007	0	0	0	-2006	1033	-1005	1032	-2005	1031	-1004	1030	-2004	0	0	0	-2003	0	0	0
0	0	0	0	1009	0	1021	0	1020	0	1019	0	1018	0	1017	0	1004	0	0	0	0	0
0	0	0	0	0	0	-1003	1008	-2002	1007	-1002	1006	-2001	1005	-1001	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
